recipe,ingredient,recipe_url,cleaned,order,technique,origin
Abakando errea,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Abakando_errea,Abakando errea,Bigarren platerak,Erre,Bertakoa
Ahuntz gazta entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ahuntz_gazta_entsalada,Ahuntz gazta entsalada,Lehen platerak,Entsalada,
Alberjinia beteak haragi xehatuarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Alberjinia_beteak_haragi_xehatuarekin,Alberjinia betea haragi xehatua,Lehen platerak,Betea,
Albondigak tomate saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Albondigak_tomate_saltsan,Albondiga tomate saltsan,Bigarren platerak,,Espainia
Ananaz beteriko krepeak,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak",Ananaz beteriko krepea,Azkenburukoak,Betea,Frantzia
Andaluziako gazpatxoa,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Andaluziako_gazpatxoa,Andaluziako gazpatxoa,Lehen platerak,,Espainia
Antxoa arrautzaztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua,Antxoa arrautzaztatua,Bigarren platerak,Frijitu,
Antxoa baratxuritan frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua,Antxoa baratxuritan frijitua,Bigarren platerak,Frijitu,Bertakoa
Antxoa betea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea,Antxoa betea,Bigarren platerak,Betea,
Antxoa kremaz beterikoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa,Antxoa kremaz beterikoa,Bigarren platerak,Kremak,
Antxoa marinatu entsalada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada,Antxoa marinatu entsalada,Lehen platerak,Entsalada,
Antxoa ozpinetan,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan,Antxoa ozpinetan,Lehen platerak,Entsalada,
Antxoa papillote eran,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran,Antxoa papillote,Bigarren platerak,Egosi,
Antxoak tipulin eta baratxuri freskoekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin",Antxoa tipulin baratxuri freskoekin,Bigarren platerak,,Bertakoa
Antxua arrautzeztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_arrautzeztatua,Antxua arrautzeztatua,Bigarren platerak,Frijitu,
Antxua baratxuritan frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_baratxuritan_frijitua,Antxua baratxuritan frijitua,Bigarren platerak,Frijitu,Bertakoa
