recipe,ingredient,recipe_url,cleaned,order,technique
Abakando errea,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Abakando_errea,Abakando errea,,Erre
Ahuntz gazta entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ahuntz_gazta_entsalada,Ahuntz gazta entsalada,,Entsalada
Alberjinia beteak haragi xehatuarekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Alberjinia_beteak_haragi_xehatuarekin,Alberjinia betea haragi xehatua,Lehen platerak,
Albondigak tomate saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Albondigak_tomate_saltsan,Albondiga tomate saltsan,Bigarren platerak,
Ananaz beteriko krepeak,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak",Ananaz beteriko krepea,Azkenburukoak,
Andaluziako gazpatxoa,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Andaluziako_gazpatxoa,Andaluziako gazpatxoa,Lehen platerak,
Antxoa arrautzaztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua,Antxoa arrautzaztatua,,
Antxoa baratxuritan frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua,Antxoa baratxuritan frijitua,,
Antxoa betea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea,Antxoa betea,,
Antxoa kremaz beterikoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa,Antxoa kremaz beterikoa,,Kremak
Antxoa marinatu entsalada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada,Antxoa marinatu entsalada,,Entsalada
Antxoa ozpinetan,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan,Antxoa ozpinetan,,
Antxoa papillote eran,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran,Antxoa papillote,,
Antxoak tipulin eta baratxuri freskoekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin",Antxoa tipulin baratxuri freskoekin,Bigarren platerak,
Antxua arrautzeztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_arrautzeztatua,Antxua arrautzeztatua,,
Antxua baratxuritan frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_baratxuritan_frijitua,Antxua baratxuritan frijitua,,
Antxua betea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_betea,Antxua betea,,
Antxua ozpinetan,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_ozpinetan,Antxua ozpinetan,,
Antxua papillote eran,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_papillote_eran,Antxua papillote,,
Arkume izterra labean barazkiekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkume_izterra_labean_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkume_izterra_labean_barazkiekin",Arkume izterra labean barazkiekin,Bigarren platerak,Labekatu
Arkumea txilindronean,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkumea_txilindronean,Arkumea txilindronean,Bigarren platerak,
Arrain budina,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_budina,Arrain budina,,
Arrain salda,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_salda,Arrain salda,,
Arrain zopa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_zopa,Arrain zopa,,Zopak
Arrautza budina,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_budina,Arrautza budina,,
Arrautza egosia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_egosia,Arrautza egosia,,
Arrautza frijitua,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_frijitua,Arrautza frijitua,,
Arrautza galdarraztatua,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_galdarraztatua,Arrautza galdarraztatua,,
Arrautza habia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_habia,Arrautza habia,,
Arrautza mollet eran,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_mollet_eran,Arrautza mollet,,
Arrautza uretan pasea,Arrautza,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza,_uretan_pasea",Arrautza uretan pasea,,
Arrautzak kardu eta kutixiekin,"Oliba olioa, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin",Arrautza kardu kutixiekin,Bigarren platerak,
Arrautzarekin labean eginiko gazta tarta,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzarekin_labean_eginiko_gazta_tarta,Arrautza labean eginiko gazta tarta,,
Arroz beltza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_beltza,Arroz beltza,,
Arroz entsalada,"Arroza, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada",Arroz entsalada,,Entsalada
Arroz esnea,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea,Arroz esnea,Azkenburukoak,
Arroz esnea2,"Esnekiak, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2",Arroz esnea2,,
Arroz hindua,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_hindua,Arroz hindua,,
Arroz odolki kruxpetak,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz-odolki_kruxpetak,Arroz odolki kruxpeta,,
Arroz odolkia piper eta galeper arrautzekin,"Arroza, Haragia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin",Arroz odolkia piper galeper arrautzekin,,
Arroz osoa barazki salteatuekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazki_salteatuekin,Arroz osoa barazki salteatuekin,,
Arroz osoa barazkiekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazkiekin,Arroz osoa barazkiekin,,
Arroz txuria,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_txuria,Arroz txuria,,
Arroz zopa,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa,Arroz zopa,,Zopak
Arroz zuri egosia,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia,Arroz zuri egosia,,
Arroz zuria txirlekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin,Arroz zuria txirlekin,,
Arroza abakandoarekin,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin",Arroza abakandoa,,
Arroza barazkiekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin,Arroza barazkiekin,,
Arroza japoniar eran egosia,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia,Arroza japoni egosia,,
Arroza oilasko eta curryarekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin,Arroza oilasko currya,Lehen platerak,
Arroza oilaskoarekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin,Arroza oilaskoa,,
Arroza txibiekin,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin",Arroza txibiekin,,
Arroza txipiroiekin,"Oliba olioa, Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin",Arroza txipiroiekin,Lehen platerak,
Arrozezko odolki kruxpetak piper kremarekin,"Arroza, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin",Arrozezko odolki kruxpeta piper krema,Lehen platerak,Kremak
Arto irin tortillak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak,Arto irin tortilla,,
Askotariko paella,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Askotariko_paella,Askotariko paella,,
Atun mendrezka plantxan tomate eta otarrainxkekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin",Atun mendrezka plantxan tomate otarrainxkekin,Bigarren platerak,Plantxan
Atungorri carpaccioa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa,Atungorri carpaccioa,,
Atungorri sashimia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia,Atungorri sashimia,,
Azenario purea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea,Azenario purea,,
Azpizuna plantxan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan,Azpizuna plantxan,,Plantxan
Baba egosia,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia,Baba egosia,,
Babak ilarrekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin,Baba ilar,,
Babak urdaiazpikoarekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin,Baba urdaiazpikoa,,
Babarrun zuriak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak,Babarrun zuria,,
Bakailao brandada piperrekin eta ziazerbekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin",Bakailao brandada piper ziazerbekin,Bigarren platerak,
