Title,Ingredient,Order,Technique,Url
Abakando errea,['Itsaskia'],['Bigarren platerak'],['Erre'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Abakando_errea']
Ahuntz gazta entsalada,['Barazkia'],['Lehen platerak'],['Entsalada'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ahuntz_gazta_entsalada']
Alberjinia beteak haragi xehatuarekin,['Oliba olioa'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Alberjinia_beteak_haragi_xehatuarekin']
Albondigak tomate saltsan,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Albondigak_tomate_saltsan']
Ananaz beteriko krepeak,"['Arrautza', 'Fruta']",['Azkenburukoak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak']"
Andaluziako gazpatxoa,['Oliba olioa'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Andaluziako_gazpatxoa']
Antxoa arrautzaztatua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua']
Antxoa baratxuritan frijitua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua']
Antxoa betea,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea']
Antxoa frijituak,"['Arraina', 'Oliba olioa']",['Bigarren platerak'],['Frijitu'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak']"
Antxoa kremaz beterikoa,['Arraina'],['Bigarren platerak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa']
Antxoa marinatu entsalada,['Arraina'],['Bigarren platerak'],['Entsalada'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada']
Antxoa ozpinetan,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan']
Antxoa papillote eran,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran']
