item1,item2,equal,incorrect
Albondigak tomate saltsan,Hegaluzea tomate konpotarekin,,
Albondigak tomate saltsan,Tomate entsalada bakailaoarekin,,
Antxoa papillote eran,Antxua papillote eran,,
Antxoa papillote eran,Arrautza mollet eran,,
Antxoa papillote eran,Haragia tartar eran,,
Antxoa papillote eran,Hegalaburra papillote eran,,
Antxoa papillote eran,Txitxardinak betiko eran,,
Antxoak tipulin eta baratxuri freskoekin,Bakailao carpaccioa ziza eta pinaziekin,,
Antxoak tipulin eta baratxuri freskoekin,Barazki eta txekor azpizun erregosia,,
Antxoak tipulin eta baratxuri freskoekin,Frantziar lekak perretxiko eta otarrainxkekin,,
Antxoak tipulin eta baratxuri freskoekin,Hostopila odolki eta barazkiz beteta,,
Antxoak tipulin eta baratxuri freskoekin,Kardua urdaiazpiko eta arrautza eskalfatuarekin,,
Antxoak tipulin eta baratxuri freskoekin,Legatza otarrainxka saldarekin eta txirlekin,,
Antxoak tipulin eta baratxuri freskoekin,Lupia sagardo eta itsaski lurrinekin,,
Antxoak tipulin eta baratxuri freskoekin,Orburuak urdaiazpiko eta arrautza galdarraztatuekin,,
Antxoak tipulin eta baratxuri freskoekin,Orburuak urdaiazpikoarekin eta beasaingo odolkiarekin,,
Antxoak tipulin eta baratxuri freskoekin,Otarrainxkak ziza kremarekin eta arrautzekin,,
Antxoak tipulin eta baratxuri freskoekin,Otarrainxkaz eta barazkiz beteriko kirriskatsuak,,
Antxoak tipulin eta baratxuri freskoekin,Tagliatelle freskoak barazki eta curryarekin,,
Antxoak tipulin eta baratxuri freskoekin,Txekor azpizuna txanpiñoi eta curryarekin,,
Antxoak tipulin eta baratxuri freskoekin,Txekor masailak onddoekin eta arrozarekin,,
Antxoak tipulin eta baratxuri freskoekin,Txokolatezko bizkotxo eta marrubi kopa,,
Antxua papillote eran,Arrautza mollet eran,,
Antxua papillote eran,Haragia tartar eran,,
Antxua papillote eran,Hegalaburra papillote eran,,
Antxua papillote eran,Txitxardinak betiko eran,,
Arrain salda,Barazki salda,,
Arrautza mollet eran,Hegalaburra papillote eran,,
Arrautza mollet eran,Txitxardinak betiko eran,,
Arrautzak kardu eta kutixiekin,Arroza oilasko eta curryarekin,,
