item1,item2,equal,incorrect
Antxoa baratxuritan frijitua,Antxoa frijitua,1.0,Antxoa frijitua
Arroza barazkiekin,Basa arroza barazkiekin,1.0,Basa arroza barazkiekin
Barazki txipiroi risotoa,Barazki txipiroi risottoa,1.0,Barazki txipiroi risotoa
Esne frijitua,Esne frijitua,1.0,Esne frijitua
Trufazko txokolate tarta,Txokolate tarta,1.0,Trufazko txokolate tarta
Txokolate biskuit izozkia,Txokolate izozkia,1.0,Txokolate biskuit izozkia
Txokolate krema,Txokolate trufa krema,1.0,Txokolate trufa krema
Txokolate tarta,Txokolatezko boilur tarta,1.0,Txokolate tarta
Txokolate trufa,Txokolate trufa krema,1.0,Txokolate trufa krema
Txokolate trufa bonboia,Txokolate trufa bonboia,1.0,Txokolate trufa bonboia
