ingredient_group,recipe,order,technique,url
arraina,Antxoa arrautzaztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua
arraina,Antxoa baratxuritan frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua
arraina,Antxoa betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea
arraina,Antxoa frijituak,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak
arraina,Antxoa kremaz beterikoa,,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa
arraina,Antxoa marinatu entsalada,,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada
arraina,Antxoa ozpinetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan
arraina,Antxoa papillote eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran
arraina,Antxoak tipulin eta baratxuri freskoekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin
arraina,Antxua arrautzeztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_arrautzeztatua
arraina,Antxua baratxuritan frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_baratxuritan_frijitua
arraina,Antxua betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_betea
arraina,Antxua ozpinetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_ozpinetan
arraina,Antxua papillote eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_papillote_eran
arraina,Arrain budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_budina
arraina,Arrain salda,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_salda
arraina,Arrain zopa,,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_zopa
arraina,Atun mendrezka plantxan tomate eta otarrainxkekin,bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin
arraina,Atungorri carpaccioa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa
arraina,Atungorri sashimia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia
arraina,Bakailao brandada piperrekin eta ziazerbekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin
