ingredient_group,recipe,recipe_new,order,technique,url
arraina,Antxoa arrautzaztatua,antxoa_arrautzaztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua
arraina,Antxoa baratxuritan frijitua,antxoa_baratxuritan_frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua
arraina,Antxoa betea,antxoa_betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea
arraina,Antxoa frijituak,antxoa_frijituak,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak
arraina,Antxoa kremaz beterikoa,antxoa_kremaz_beterikoa,,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa
arraina,Antxoa marinatu entsalada,antxoa_marinatu_entsalada,,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada
arraina,Antxoa ozpinetan,antxoa_ozpinetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan
arraina,Antxoa papillote eran,antxoa_papillote_eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran
arraina,Antxoak tipulin eta baratxuri freskoekin,antxoak_tipulin_eta_baratxuri_freskoekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin
arraina,Antxua arrautzeztatua,antxoa_arrautzaztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_arrautzeztatua
arraina,Antxua baratxuritan frijitua,antxoa_baratxuritan_frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_baratxuritan_frijitua
arraina,Antxua betea,antxoa_betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_betea
arraina,Antxua ozpinetan,antxoa_ozpinetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_ozpinetan
arraina,Antxua papillote eran,antxoa_papillote_eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxua_papillote_eran
arraina,Arrain budina,arrain_budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_budina
arraina,Arrain salda,arrain_salda,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_salda
arraina,Arrain zopa,arrain_zopa,,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_zopa
arraina,Atun mendrezka plantxan tomate eta otarrainxkekin,atun_mendrezka_plantxan_tomate_eta_otarrainxkekin,bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin
arraina,Atungorri carpaccioa,atungorri_carpaccioa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa
arraina,Atungorri sashimia,atungorri_sashimia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia
arraina,Bakailao brandada piperrekin eta ziazerbekin,bakailao_brandada_piperrekin_eta_ziazerbekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin
arraina,"Bakailao carpaccioa, ziza eta pinaziekin",bakailao_carpaccioa_ziza_eta_pinaziekin,bigarren platerak,carpaccio,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin"
arraina,Bakailao edo legatz kroketak,bakailao_edo_legatz_kroketak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak
arraina,Bakailao entsalada,bakailao_entsalada,,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada
arraina,Bakailao eta piper erre entsalada epela,bakailao_eta_piper_erre_entsalada_epela,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela
arraina,Bakailao frijitua,bakailao_frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_frijitua
arraina,Bakailao kokotxak gari zainzuri eta piper freskoekin,bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin
arraina,Bakailao kokotxak saltsa berdean,bakailao_kokotxak_saltsa_berdean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_saltsa_berdean
arraina,Bakailao konfitatua piperrekin,bakailao_konfitatua_piperrekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua_piperrekin
arraina,"Bakailao konfitatua, basmati arrozarekin eta ziazerbekin",bakailao_konfitatua_basmati_arrozarekin_eta_ziazerbekin,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin"
arraina,Bakailao masailak saltsa berdean patatekin,bakailao_masailak_saltsa_berdean_patatekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_masailak_saltsa_berdean_patatekin
arraina,Bakailao nahaskia,bakailao_nahaskia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_nahaskia
arraina,Bakailao tortilla,bakailao_tortila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla
arraina,Bakailaoa bizkaitar erara,bakailaoa_bizkaitar_erara,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_bizkaitar_erara
arraina,Bakailaoa frijitua piper saltsa eta alioli gainerrea,bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea
arraina,Bakailaoa pil-pil erara,bakailaoa_pil-pil_erara,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara
arraina,Bakailaoaren brandada,bakailaoaren_brandada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada
arraina,Bakailo piper beteak,bakailao_piper_beteak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak
arraina,Barbarin frijituak,barbarin_frijituak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_frijituak
arraina,Berdela eskabetxean,berdela_eskabetxean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean
arraina,Berdela labean piperradarekin,berdela_labean_piperradarekin,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin
arraina,Bisigua labean,bisigua_labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean
