recipe_new,ingredient_group,order,technique,url,origin
abakando_errea,itsaskia,bigarren platerak,erre,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Abakando_errea,bertakoa
ahuntz_gazta_entsalada,barazkia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ahuntz_gazta_entsalada,
alberjinia_beteak_haragi_xehatuarekin,oliba olioa,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Alberjinia_beteak_haragi_xehatuarekin,
ananaz_beteriko_krepeak,"fruta, arrautza",azkenburukoak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak,frantzia
andaluziako_gazpatxoa,oliba olioa,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Andaluziako_gazpatxoa,espainia
antxoa_arrautzaztatua,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua,
antxoa_baratxuritan_frijitua,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua,bertakoa
antxoa_betea,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea,
antxoa_frijituak,"arraina, oliba olioa",bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak,
antxoa_kremaz_beterikoa,arraina,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa,
antxoa_marinatu_entsalada,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada,
antxoa_ozpinetan,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan,
antxoa_papillote_eran,arraina,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran,
antxoak_tipulin_eta_baratxuri_freskoekin,"arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin,bertakoa
arkume_izterra_labean_barazkiekin,"barazkia, oliba olioa",bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkume_izterra_labean_barazkiekin,
