recipe,ingredient_group,order,technique,url,origin,ingredients
Abakando errea,itsaskia,bigarren platerak,erre,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Abakando_errea,bertakoa,abakando
Ahuntz-gazta entsalada,barazkia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ahuntz_gazta_entsalada,,ahuntz-gazta
Alberjinia beteak haragi-xehatuarekin,oliba olioa,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Alberjinia_beteak_haragi_xehatuarekin,,"alberjinia, haragi-xehatua"
Ananaz beteriko krepeak,"fruta, arrautza",azkenburukoak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak,frantzia,anana
Andaluziako gazpatxoa,oliba olioa,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Andaluziako_gazpatxoa,espainia,
Antxoa arrautzaztatua,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_arrautzaztatua,,antxoa
Antxoa baratxuritan frijitua,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_baratxuritan_frijitua,bertakoa,"antxoa, baratxuri"
Antxoa betea,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_betea,,antxoa
Antxoa frijituak,"arraina, oliba olioa",bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_frijituak,,antxoa
Antxoa kremaz beterikoa,arraina,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_kremaz_beterikoa,,antxoa
Antxoa marinatu entsalada,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_marinatu_entsalada,,antxoa
Antxoa ozpinetan,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_ozpinetan,,antxoa
Antxoa papillotean,arraina,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoa_papillote_eran,,antxoa
Antxoak tipulin eta baratxuri-freskoekin,"arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Antxoak_tipulin_eta_baratxuri_freskoekin,bertakoa,"antxo, tipulin, baratxuri-fresko"
Arkume-izterra labean barazkiekin,"barazkia, oliba olioa",bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkume_izterra_labean_barazkiekin,,"arkume-izterra, barazki"
Arkumea txilindronean,oliba olioa,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arkumea_txilindronean,bertakoa,arkumea
Arrain budina,arraina,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_budina,,arrain
Arrain salda,arraina,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_salda,,arrain
Arrain-zopa,arraina,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrain_zopa,,
Arrautza budina,arrautza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_budina,,arrautza
Arrautza egosia,arrautza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_egosia,,arrautza
Arrautza frijitua,arrautza,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_frijitua,,arrautza
Arrautza galdarraztatua,arrautza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_galdarraztatua,,arrautza
Arrautza habia,arrautza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_habia,,arrautza
Mollet-arrautza,arrautza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_mollet_eran,frantzia,mollet-arrautza
Arrautza uretan pasea,arrautza,lehen platerak,egosi,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza,_uretan_pasea",,arrautza
